,director,actor2,genres,actor1,title,actor3,comb
4401,Zack Snyder,Kevin Zegers,Action Horror Thriller,Ty Burrell,dawn of the dead,Mekhi Phifer,Ty Burrell Kevin Zegers Mekhi Phifer Zack Snyder Action Horror Thriller
4402,Adrienne Shelly,Cheryl Hines,Comedy Drama Romance,Lew Temple,waitress,Eddie Jemison,Lew Temple Cheryl Hines Eddie Jemison Adrienne Shelly Comedy Drama Romance
4403,Newt Arnold,Donald Gibb,Action Biography Drama Sport,Bolo Yeung,bloodsport,Ken Siu,Bolo Yeung Donald Gibb Ken Siu Newt Arnold Action Biography Drama Sport
4404,Frank Capra,Jean Arthur,Comedy Drama,Claude Rains,mr. smith goes to washington,Thomas Mitchell,Claude Rains Jean Arthur Thomas Mitchell Frank Capra Comedy Drama
4405,Larry Clark,Leo Fitzpatrick,Drama,Rosario Dawson,kids,Justin Pierce,Rosario Dawson Leo Fitzpatrick Justin Pierce Larry Clark Drama
4406,Noah Baumbach,Elizabeth Meriwether,Comedy Drama,William Baldwin,the squid and the whale,Owen Kline,William Baldwin Elizabeth Meriwether Owen Kline Noah Baumbach Comedy Drama
4407,Charles Herman-Wurmfeld,Jennifer Westfeldt,Comedy Drama Romance,Scott Cohen,kissing jessica stein,Brian Stepanek,Scott Cohen Jennifer Westfeldt Brian Stepanek Charles Herman-Wurmfeld Comedy Drama Romance
4410,Alfred Hitchcock,Rhonda Fleming,Film-Noir Mystery Romance Thriller,Norman Lloyd,spellbound,Leo G. Carroll,Norman Lloyd Rhonda Fleming Leo G. Carroll Alfred Hitchcock Film-Noir Mystery Romance Thriller
4411,Atom Egoyan,Mia Kirshner,Drama Mystery Romance,Bruce Greenwood,exotica,Sarah Polley,Bruce Greenwood Mia Kirshner Sarah Polley Atom Egoyan Drama Mystery Romance
4412,Vincent Gallo,Vincent Gallo,Comedy Crime Drama Romance,Anjelica Huston,buffalo '66,Jan-Michael Vincent,Anjelica Huston Vincent Gallo Jan-Michael Vincent Vincent Gallo Comedy Crime Drama Romance
4413,James Wan,Barbara Hershey,Fantasy Horror Mystery Thriller,Lin Shaye,insidious,Philip Friedman,Lin Shaye Barbara Hershey Philip Friedman James Wan Fantasy Horror Mystery Thriller
4414,Alex Cox,Tracey Walter,Comedy Crime Sci-Fi Thriller,Del Zamora,repo man,Miguel Sandoval,Del Zamora Tracey Walter Miguel Sandoval Alex Cox Comedy Crime Sci-Fi Thriller
4417,Rebecca Miller,Susanna Thompson,Drama,Beau Bridges,the ballad of jack and rose,Ryan McDonald,Beau Bridges Susanna Thompson Ryan McDonald Rebecca Miller Drama
4418,Maggie Carey,Alia Shawkat,Comedy Romance,Donald Glover,the to do list,Scott Porter,Donald Glover Alia Shawkat Scott Porter Maggie Carey Comedy Romance
4419,Roger Avary,Salvator Xuereb,Crime Drama Thriller,Eric Stoltz,killing zoe,Jean-Hugues Anglade,Eric Stoltz Salvator Xuereb Jean-Hugues Anglade Roger Avary Crime Drama Thriller
4420,Henry Bean,Theresa Russell,Drama,Ryan Gosling,the believer,Summer Phoenix,Ryan Gosling Theresa Russell Summer Phoenix Henry Bean Drama
4421,David Gordon Green,Connor Paolo,Drama Romance,Michael Angarano,snow angels,Tom Noonan,Michael Angarano Connor Paolo Tom Noonan David Gordon Green Drama Romance
4422,Simeon Rice,Lisa Brave,Action Horror Thriller,Ward G. Smith,unsullied,Malone Thomas,Ward G. Smith Lisa Brave Malone Thomas Simeon Rice Action Horror Thriller
4423,Brad Anderson,Brendan Sexton III,Horror Mystery,Paul Guilfoyle,session 9,Larry Fessenden,Paul Guilfoyle Brendan Sexton III Larry Fessenden Brad Anderson Horror Mystery
4424,Jeff Garlin,Jeff Garlin,Comedy Romance,Jessy Schram,i want someone to eat cheese with,Joey Slotnick,Jessy Schram Jeff Garlin Joey Slotnick Jeff Garlin Comedy Romance
4425,Qasim Basir,Nia Long,Drama Family,Dorian Missick,mooz-lum,Evan Ross,Dorian Missick Nia Long Evan Ross Qasim Basir Drama Family
4426,Adam Green,Kane Hodder,Comedy Horror,Joel David Moore,hatchet,Joel Murray,Joel David Moore Kane Hodder Joel Murray Adam Green Comedy Horror
4427,Charles Chaplin,Stanley Blystone,Comedy Drama Family,Paulette Goddard,modern times,Fred Malatesta,Paulette Goddard Stanley Blystone Fred Malatesta Charles Chaplin Comedy Drama Family
4428,Pete Jones,Aidan Quinn,Drama,Brian Dennehy,stolen summer,Bonnie Hunt,Brian Dennehy Aidan Quinn Bonnie Hunt Pete Jones Drama
4429,Bruce Campbell,Dan Hicks,Comedy Fantasy,Ted Raimi,my name is bruce,Timothy Patrick Quill,Ted Raimi Dan Hicks Timothy Patrick Quill Bruce Campbell Comedy Fantasy
4430,Mark Brown,Monica Calhoun,Comedy Drama,Vivica A. Fox,the salon,Garrett Morris,Vivica A. Fox Monica Calhoun Garrett Morris Mark Brown Comedy Drama
4431,Adam Carolla,Jim O'Heir,Comedy,Jay Mohr,road hard,David Alan Grier,Jay Mohr Jim O'Heir David Alan Grier Adam Carolla Comedy
4432,Ira Sachs,Jenny O'Hara,Drama Music Romance,Rip Torn,forty shades of blue,Darren E. Burrows,Rip Torn Jenny O'Hara Darren E. Burrows Ira Sachs Drama Music Romance
4433,John Sayles,John Arcilla,Drama War,Brian Lee Franklin,amigo,Ronnie Lazaro,Brian Lee Franklin John Arcilla Ronnie Lazaro John Sayles Drama War
4434,Bruce McDonald,Georgina Reilly,Fantasy Horror,Stephen McHattie,pontypool,Boyd Banks,Stephen McHattie Georgina Reilly Boyd Banks Bruce McDonald Fantasy Horror
4435,James Mottern,Joey Lauren Adams,Drama,Jimmy Bennett,trucker,Matthew Lawrence,Jimmy Bennett Joey Lauren Adams Matthew Lawrence James Mottern Drama
4436,Jaime Zevallos,Jaime Zevallos,Comedy Drama Romance,Angela Sarafyan,me you and five bucks,Michael Elian,Angela Sarafyan Jaime Zevallos Michael Elian Jaime Zevallos Comedy Drama Romance
4437,Rob Zombie,Dee Wallace,Drama Fantasy Horror Thriller,Sid Haig,the lords of salem,Michael Berryman,Sid Haig Dee Wallace Michael Berryman Rob Zombie Drama Fantasy Horror Thriller
4438,Gerard Johnstone,Bruce Hopkins,Comedy Horror Mystery,Morgana O'Reilly,housebound,Cameron Rhodes,Morgana O'Reilly Bruce Hopkins Cameron Rhodes Gerard Johnstone Comedy Horror Mystery
4439,Robert Greenwald,Jon Hunter,Documentary,Lee Scott,wal-mart: the high cost of low price,Matt Hunter,Lee Scott Jon Hunter Matt Hunter Robert Greenwald Documentary
4440,David Ray,Sarah Lind,Drama Fantasy Romance,Nicole Muñoz,fetching cody,Kyla Wise,Nicole Muñoz Sarah Lind Kyla Wise David Ray Drama Fantasy Romance
4441,Dave Rodriguez,Michael Rapaport,Comedy Drama,Chazz Palminteri,once upon a time in queens,Paul Sorvino,Chazz Palminteri Michael Rapaport Paul Sorvino Dave Rodriguez Comedy Drama
4442,Nae Caranfil,Joe Armstrong,Comedy Drama,Monica Barladeanu,closer to the moon,Martin Hancock,Monica Barladeanu Joe Armstrong Martin Hancock Nae Caranfil Comedy Drama
4443,David Winning,Amber Marshall,Sci-Fi,Ashanti,mutant world,John DeSantis,Ashanti Amber Marshall John DeSantis David Winning Sci-Fi
4444,Frank Lotito,Jake Busey,Comedy Drama Family,Brighton Sharbino,growing up smith,Tim Guinee,Brighton Sharbino Jake Busey Tim Guinee Frank Lotito Comedy Drama Family
4445,Timothy Woodward Jr.,Johnny Messner,Action Crime Thriller,Katrina Law,checkmate,Michael Paré,Katrina Law Johnny Messner Michael Paré Timothy Woodward Jr. Action Crime Thriller
4446,Christopher McQuarrie,Robert Duvall,Action Crime Mystery Thriller,Tom Cruise,jack reacher,David Oyelowo,Tom Cruise Robert Duvall David Oyelowo Christopher McQuarrie Action Crime Mystery Thriller
4447,Tara Subkoff,Balthazar Getty,Drama Horror Mystery Thriller,Timothy Hutton,#horror,Lydia Hearst,Timothy Hutton Balthazar Getty Lydia Hearst Tara Subkoff Drama Horror Mystery Thriller
4448,Russell Friedenberg,Glen Powell,Action Horror Thriller,Rudy Youngblood,wind walkers,Kiowa Gordon,Rudy Youngblood Glen Powell Kiowa Gordon Russell Friedenberg Action Horror Thriller
4449,William Cottrell,Billy Gilbert,Animation Family Fantasy Musical,Adriana Caselotti,snow white and the seven dwarfs,Lucille La Verne,Adriana Caselotti Billy Gilbert Lucille La Verne William Cottrell Animation Family Fantasy Musical
4451,Edward Dmytryk,Woody Strode,Western,Brigitte Bardot,shalako,Honor Blackman,Brigitte Bardot Woody Strode Honor Blackman Edward Dmytryk Western
4452,Zak Penn,Gabriel Beristain,Adventure Comedy Horror,Zak Penn,incident at loch ness,John Bailey,Zak Penn Gabriel Beristain John Bailey Zak Penn Adventure Comedy Horror
4453,Alex Ranarivelo,Christina Moore,Drama,Lea Thompson,the dog lover,Cullen Douglas,Lea Thompson Christina Moore Cullen Douglas Alex Ranarivelo Drama
4454,Jon Knautz,Adam DiMarco,Horror Thriller,Camren Bicondova,girl house,Chasty Ballesteros,Camren Bicondova Adam DiMarco Chasty Ballesteros Jon Knautz Horror Thriller
4456,David Worth,Jonathan Mangum,Horror Thriller,Jessica Szohr,house at the end of the drive,Angela Jones,Jessica Szohr Jonathan Mangum Angela Jones David Worth Horror Thriller
4457,Leslie H. Martinson,Cesar Romero,Adventure Comedy Family,Burgess Meredith,batman: the movie,Burt Ward,Burgess Meredith Cesar Romero Burt Ward Leslie H. Martinson Adventure Comedy Family
4458,Guy Ritchie,Jason Flemyng,Comedy Crime,Jason Statham,"lock, stock and two smoking barrels",Dexter Fletcher,Jason Statham Jason Flemyng Dexter Fletcher Guy Ritchie Comedy Crime
4459,Robert M. Young,Bruce McGill,Western,Barry Corbin,the ballad of gregorio cortez,Ned Beatty,Barry Corbin Bruce McGill Ned Beatty Robert M. Young Western
4460,,Michael Douglas,Action Crime Drama Mystery,Karl Malden,the streets of san francisco            ,,Karl Malden Michael Douglas   Action Crime Drama Mystery
4462,Steve Buscemi,Debi Mazar,Comedy Drama,Steve Buscemi,trees lounge,Carol Kane,Steve Buscemi Debi Mazar Carol Kane Steve Buscemi Comedy Drama
4464,Rich Cowan,Karen Allen,Drama,Eric Dane,the basket,Peter Coyote,Eric Dane Karen Allen Peter Coyote Rich Cowan Drama
4465,Boris Rodriguez,Thure Lindhardt,Comedy Horror,Stephen McHattie,eddie: the sleepwalking cannibal,Georgina Reilly,Stephen McHattie Thure Lindhardt Georgina Reilly Boris Rodriguez Comedy Horror
4466,Harold Becker,Miko Hughes,Action Crime Drama Thriller,Bruce Willis,mercury rising,Carrie Preston,Bruce Willis Miko Hughes Carrie Preston Harold Becker Action Crime Drama Thriller
4467,,Tucker Smallwood,Drama Sci-Fi,James Morrison,space: above and beyond            ,Kristen Cloke,James Morrison Tucker Smallwood Kristen Cloke  Drama Sci-Fi
4468,Sadyk Sher-Niyaz,Aziz Muradillayev,Action Biography Drama History,Elina Abai Kyzy,queen of the mountains,Mirlan Abdulayev,Elina Abai Kyzy Aziz Muradillayev Mirlan Abdulayev Sadyk Sher-Niyaz Action Biography Drama History
4469,Paul Donovan,Lenore Zann,Action Sci-Fi,Maury Chaykin,def-con 4,Tim Choate,Maury Chaykin Lenore Zann Tim Choate Paul Donovan Action Sci-Fi
4470,Jonathan Kesselman,Adam Goldberg,Comedy,Judy Greer,the hebrew hammer,Tony Cox,Judy Greer Adam Goldberg Tony Cox Jonathan Kesselman Comedy
4471,Arjun Sablok,Uday Chopra,Comedy Musical Romance,Abhishek Bachchan,neal 'n' nikki,Samantha McLeod,Abhishek Bachchan Uday Chopra Samantha McLeod Arjun Sablok Comedy Musical Romance
4472,Craig Moss,Bryan Callen,Comedy,Noureen DeWulf,the 41-year-old virgin who knocked up sarah marshall and felt superbad about it,Matt Crabtree,Noureen DeWulf Bryan Callen Matt Crabtree Craig Moss Comedy
4473,Tyler Oliver,Chloe Bridges,Horror Romance Thriller,Bella Thorne,forget me not,Christopher Atkins,Bella Thorne Chloe Bridges Christopher Atkins Tyler Oliver Horror Romance Thriller
4474,Alfred Hitchcock,Joan Fontaine,Drama Film-Noir Mystery Thriller,Laurence Olivier,rebecca,George Sanders,Laurence Olivier Joan Fontaine George Sanders Alfred Hitchcock Drama Film-Noir Mystery Thriller
4475,Steve Miner,Adrienne King,Horror Mystery Thriller,Betsy Palmer,friday the 13th part 2,Amy Steel,Betsy Palmer Adrienne King Amy Steel Steve Miner Horror Mystery Thriller
4476,Billy Wilder,Jane Wyman,Drama Film-Noir,Ray Milland,the lost weekend,Frank Faylen,Ray Milland Jane Wyman Frank Faylen Billy Wilder Drama Film-Noir
4477,Douglas Cheek,John Heard,Horror Sci-Fi,Daniel Stern,c.h.u.d.,Sam McMurray,Daniel Stern John Heard Sam McMurray Douglas Cheek Horror Sci-Fi
4478,Youssef Delara,Jenni Rivera,Drama Music,Noel Gugliemi,filly brown,Jorge Diaz,Noel Gugliemi Jenni Rivera Jorge Diaz Youssef Delara Drama Music
4479,Deryck Broom,Omar Benson Miller,Animation,Vic Mignogna,the lion of judah,Anupam Kher,Vic Mignogna Omar Benson Miller Anupam Kher Deryck Broom Animation
4480,Henry Hathaway,Jean Peters,Crime Film-Noir Thriller,Joseph Cotten,niagara,Will Wright,Joseph Cotten Jean Peters Will Wright Henry Hathaway Crime Film-Noir Thriller
4481,John Ford,Walter Pidgeon,Drama Family,Roddy McDowall,how green was my valley,Barry Fitzgerald,Roddy McDowall Walter Pidgeon Barry Fitzgerald John Ford Drama Family
4482,,Riley Keough,Drama,Mary Lynn Rajskub,the girlfriend experience            ,Paul Sparks,Mary Lynn Rajskub Riley Keough Paul Sparks  Drama
4483,Spike Lee,Elvis Nolasco,Comedy Romance Thriller,Rami Malek,da sweet blood of jesus,Felicia Pearson,Rami Malek Elvis Nolasco Felicia Pearson Spike Lee Comedy Romance Thriller
4484,Steven Soderbergh,Laura San Giacomo,Drama,Peter Gallagher,"sex, lies, and videotape",Steven Brill,Peter Gallagher Laura San Giacomo Steven Brill Steven Soderbergh Drama
4485,James Wan,Monica Potter,Horror Mystery Thriller,Michael Emerson,saw,Shawnee Smith,Michael Emerson Monica Potter Shawnee Smith James Wan Horror Mystery Thriller
4486,Jay Chandrasekhar,Daniel von Bargen,Comedy Crime Mystery,Geoffrey Arend,super troopers,Jay Chandrasekhar,Geoffrey Arend Daniel von Bargen Jay Chandrasekhar Jay Chandrasekhar Comedy Crime Mystery
4487,Giovanni Zelko,Harry Lennix,Action Romance Thriller,Zuhair Haddad,the algerian,Ben Youcef,Zuhair Haddad Harry Lennix Ben Youcef Giovanni Zelko Action Romance Thriller
4489,Scott Derrickson,Jon Hamm,Drama Sci-Fi Thriller,Keanu Reeves,the day the earth stood still,Juan Riedinger,Keanu Reeves Jon Hamm Juan Riedinger Scott Derrickson Drama Sci-Fi Thriller
4491,Kenneth Lonergan,Rory Culkin,Drama,Matthew Broderick,you can count on me,Gaby Hoffmann,Matthew Broderick Rory Culkin Gaby Hoffmann Kenneth Lonergan Drama
4492,Alfred Hitchcock,John Forsythe,Comedy Mystery Romance,Jerry Mathers,the trouble with harry,Royal Dano,Jerry Mathers John Forsythe Royal Dano Alfred Hitchcock Comedy Mystery Romance
4493,Paul McGuigan,Morgan Freeman,Crime Drama Mystery Thriller,Bruce Willis,lucky number slevin,Dorian Missick,Bruce Willis Morgan Freeman Dorian Missick Paul McGuigan Crime Drama Mystery Thriller
4494,Jamie Babbit,Clea DuVall,Comedy Drama,Natasha Lyonne,but i'm a cheerleader,Eddie Cibrian,Natasha Lyonne Clea DuVall Eddie Cibrian Jamie Babbit Comedy Drama
4495,David Boyd,Drew Waters,Drama Sport,Vivica A. Fox,home run,Scott Elrod,Vivica A. Fox Drew Waters Scott Elrod David Boyd Drama Sport
4496,Quentin Tarantino,Steve Buscemi,Crime Drama Thriller,Quentin Tarantino,reservoir dogs,Chris Penn,Quentin Tarantino Steve Buscemi Chris Penn Quentin Tarantino Crime Drama Thriller
4497,Walter Lang,Nigel Bruce,Drama Family Fantasy,Spring Byington,the blue bird,Gale Sondergaard,Spring Byington Nigel Bruce Gale Sondergaard Walter Lang Drama Family Fantasy
4500,Steve Taylor,Marshall Allman,Comedy Drama,Jason Marsden,blue like jazz,Eric Lange,Jason Marsden Marshall Allman Eric Lange Steve Taylor Comedy Drama
4501,Kurt Voss,Coyote Shivers,Comedy Music,Lemmy,down and out with the dolls,Zoë Poledouris,Lemmy Coyote Shivers Zoë Poledouris Kurt Voss Comedy Music
4502,Léa Pool,,Documentary,,"pink ribbons, inc.",,   Léa Pool Documentary
4503,James David Pasternak,Sarah Silverman,Comedy Documentary,Robin Williams,certifiably jonathan,Jonathan Winters,Robin Williams Sarah Silverman Jonathan Winters James David Pasternak Comedy Documentary
4506,David Caffrey,Scott Adsit,Adventure Comedy Drama,Marley Shelton,grand theft parsons,Jim Cody Williams,Marley Shelton Scott Adsit Jim Cody Williams David Caffrey Adventure Comedy Drama
4507,Adam Jay Epstein,Denise Boutte,Comedy,Rich Ceraulo,extreme movie,Vanessa Lee Chester,Rich Ceraulo Denise Boutte Vanessa Lee Chester Adam Jay Epstein Comedy
4508,Michael Curtiz,David Niven,Action Adventure Romance War,Errol Flynn,the charge of the light brigade,Spring Byington,Errol Flynn David Niven Spring Byington Michael Curtiz Action Adventure Romance War
4509,Justin Thomas Ostensen,Kristin Booth,Thriller,Michael Berryman,below zero,Michael Eisner,Michael Berryman Kristin Booth Michael Eisner Justin Thomas Ostensen Thriller
4510,Brenton Spencer,Victor Zinck Jr.,Action Horror Mystery Thriller,Christie Burke,crowsnest,Chelsey Reist,Christie Burke Victor Zinck Jr. Chelsey Reist Brenton Spencer Action Horror Mystery Thriller
4511,Rob Bowman,Jacob Vargas,Adventure Comedy Sport,Alanna Ubach,airborne,Brittney Powell,Alanna Ubach Jacob Vargas Brittney Powell Rob Bowman Adventure Comedy Sport
4512,Ossie Davis,Cleavon Little,Action Comedy,Redd Foxx,cotton comes to harlem,Calvin Lockhart,Redd Foxx Cleavon Little Calvin Lockhart Ossie Davis Action Comedy
4513,Jay Alaimo,Sabrina Carmichael,Horror,William McNamara,the wicked within,Patrick Muldoon,William McNamara Sabrina Carmichael Patrick Muldoon Jay Alaimo Horror
4514,Dylan Bank,Deirdre Lorenz,Horror,Seregon O'Dassey,bleeding hearts,Dustin Diamond,Seregon O'Dassey Deirdre Lorenz Dustin Diamond Dylan Bank Horror
4515,Rob McKittrick,Dane Cook,Comedy,Ryan Reynolds,waiting...,Vanessa Lengies,Ryan Reynolds Dane Cook Vanessa Lengies Rob McKittrick Comedy
4516,Shane Meadows,Gary Stretch,Crime Drama Thriller,Paddy Considine,dead man's shoes,George Newton,Paddy Considine Gary Stretch George Newton Shane Meadows Crime Drama Thriller
4517,,John Jarratt,Drama Horror Thriller,Richard Cawthorne,wolf creek            ,Lucy Fry,Richard Cawthorne John Jarratt Lucy Fry  Drama Horror Thriller
4518,Jeff Burr,Clu Gulager,Action Drama Horror Thriller,Terry Kiser,from a whisper to a scream,Susan Tyrrell,Terry Kiser Clu Gulager Susan Tyrrell Jeff Burr Action Drama Horror Thriller
4519,Harry Gantz,,Documentary Drama,,sex with strangers,,   Harry Gantz Documentary Drama
4520,Guy Maddin,CindyMarie Small,Comedy Horror Musical,Sarah Murphy-Dyson,dracula: pages from a virgin's diary,Brent Neale,Sarah Murphy-Dyson CindyMarie Small Brent Neale Guy Maddin Comedy Horror Musical
4522,Panos Cosmatos,Marilyn Norry,Sci-Fi Thriller,Chris Gauthier,beyond the black rainbow,Eva Bourne,Chris Gauthier Marilyn Norry Eva Bourne Panos Cosmatos Sci-Fi Thriller
4524,Matthew R. Anderson,Vernon Wells,Action Horror Sci-Fi,Johnny Pacar,the dead undead,Matthew R. Anderson,Johnny Pacar Vernon Wells Matthew R. Anderson Matthew R. Anderson Action Horror Sci-Fi
4525,Joe Marino,Anella Vastola,Horror,Piero Maggiò,the vatican exorcisms,Joe Marino,Piero Maggiò Anella Vastola Joe Marino Joe Marino Horror
4526,Michael Curtiz,Claude Rains,Drama Romance War,Humphrey Bogart,casablanca,Conrad Veidt,Humphrey Bogart Claude Rains Conrad Veidt Michael Curtiz Drama Romance War
4527,Joel Anderson,Rosie Traynor,Drama Horror Mystery Thriller,Talia Zucker,lake mungo,Martin Sharpe,Talia Zucker Rosie Traynor Martin Sharpe Joel Anderson Drama Horror Mystery Thriller
4529,Douglas Trumbull,Ron Rifkin,Drama Sci-Fi,Bruce Dern,silent running,Jesse Vint,Bruce Dern Ron Rifkin Jesse Vint Douglas Trumbull Drama Sci-Fi
4530,John G. Avildsen,Burgess Meredith,Drama Sport,Sylvester Stallone,rocky,Carl Weathers,Sylvester Stallone Burgess Meredith Carl Weathers John G. Avildsen Drama Sport
4531,Mona Fastvold,Brady Corbet,Drama,Christopher Abbott,the sleepwalker,Gitte Witt,Christopher Abbott Brady Corbet Gitte Witt Mona Fastvold Drama
4532,John Carpenter,Hal Holbrook,Fantasy Horror,Jamie Lee Curtis,the fog,Janet Leigh,Jamie Lee Curtis Hal Holbrook Janet Leigh John Carpenter Fantasy Horror
